Symbol,A017670,A000660,A010950,A010130,A000270,A004370,A003490,A011170,A005930,A003550,A007310,A005490,A015760,A018880,A012330,A000720,A005380,A004020,A009540,A008770
Symbol Name,SK텔레콤,SK하이닉스,S-Oil,고려아연,기아차,농심,대한항공,롯데케미칼,삼성전자,LG,오뚜기,POSCO,한국전력,한온시스템,현대모비스,현대건설,현대차,현대제철,현대중공업,호텔신라
Kind,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY
2001.8.31,0.084337349,-0.39635434,0.238170347,-0.101796407,-0.016166282,0.1218886,-0.007751938,0.118493909,0.002638522,-0.130959817,0.019230769,0.026077098,0.094202899,-0.020895522,-0.029045643,0.356010428,-0.034013605,0.096153846,-0.195151887,0.084142395
2001.9.30,-0.075555556,0.066224759,0.036942675,-0.166666667,-0.167840376,0.169233766,-0.263561321,-0.138613861,-0.263157895,-0.185673215,-0.018867925,-0.108287293,-0.072847682,-0.06554878,-0.055555556,-0.135701109,-0.211267606,-0.149122807,-0.017298894,-0.134328358
2001.10.31,0.180288462,0.25990099,-0.003685504,0.048,0.183356841,-0.037826208,-0.009407526,0.034482759,0.239285714,0.247131509,0.023076923,0.102850062,-0.028571429,0.158238173,0.312217195,-0.092136115,0.238095238,0.073883162,-0.030842345,0.093103448
2001.11.30,0.075356415,0.923790378,0.060419236,0.320610687,0.10488677,0.05982832,0.636492221,0.594444444,0.25648415,0.210191083,0.101503759,0.202247191,0.12745098,0.070422535,0.231034483,0.212410185,0.221153846,0.216,0.12044033,0.334384858
2001.12.31,0.015151515,0.128200256,0.018604651,0.156069364,-0.044228695,0.162900547,0.054574639,0.226480836,0.279816514,0.024951267,0.020477816,0.140186916,-0.056521739,-0.052631579,0.058823529,0.007756172,0.059055118,0.039473684,0.026393355,0.004728132
2002.1.31,-0.044776119,0.008251937,0.029680365,0.075,0.094808126,0.120673308,0.490106545,0.051136364,0.077060932,0.201217193,0.277591973,0.053278689,0.004608295,0.230555556,0.005291005,0.1999729,0.124535316,0.607594937,0.13440369,0.135294118
2002.2.28,0.015625,-0.338107566,0.068736142,0.255813953,0.180412371,-0.009902024,0.376050915,0.183783784,0.141430948,0.187935402,0.180628272,0.140077821,0.006880734,0.14221219,0.302631579,-0.048713837,0.203305785,0.039370079,0.222959497,0.124352332
2002.3.31,0.115384615,-0.108352785,0.112033195,0.144444444,0.227074236,0.174997363,0.045052247,0.057077626,0.072886297,0.367453019,0.144124169,-0.051194539,0.127562642,0.205533597,0.286868687,-0.021556431,0.151098901,0.137878788,-0.025623334,0.050691244
2002.4.30,-0.132758621,-0.336823858,-0.050373134,-0.216828479,-0.049822064,-0.031909354,0.155119659,-0.205183585,0.038043478,-0.243762183,-0.294573643,-0.075539568,-0.01010101,-0.049180328,-0.004709576,-0.241058863,0.145584726,-0.202396804,-0.133030771,-0.035087719
2002.5.31,0.07554672,-0.2774992,0.009823183,-0.090909091,-0.116104869,-0.021980264,-0.089541649,0.1875,-0.104712042,0.061992525,0.005494505,0.085603113,0.028571429,-0.055172414,-0.29022082,-0.10706864,-0.161458333,0.031719533,-0.212511602,-0.3
